INFO 2025-12-28 23:46:28,103 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965588 HTTP/1.1" 200 50378
INFO 2025-12-28 23:46:40,709 basehttp 208872 138373078234688 "GET /dashboard/ HTTP/1.1" 200 2664
INFO 2025-12-28 23:46:40,738 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965600 HTTP/1.1" 200 50378
INFO 2025-12-28 23:46:58,333 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 2662
INFO 2025-12-28 23:46:58,357 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965618 HTTP/1.1" 200 50378
INFO 2025-12-28 23:47:02,470 basehttp 208872 138373078234688 "GET /dashboard/ HTTP/1.1" 200 2660
INFO 2025-12-28 23:47:02,495 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965622 HTTP/1.1" 200 50378
INFO 2025-12-28 23:47:04,544 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 2660
INFO 2025-12-28 23:47:04,565 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965624 HTTP/1.1" 200 50378
INFO 2025-12-28 23:47:05,616 basehttp 208872 138373078234688 "GET /dashboard/ HTTP/1.1" 200 3730
INFO 2025-12-28 23:47:05,644 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965625 HTTP/1.1" 200 51387
INFO 2025-12-28 23:47:13,923 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 3728
INFO 2025-12-28 23:47:13,947 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965633 HTTP/1.1" 200 51387
INFO 2025-12-28 23:47:20,485 basehttp 208872 138373078234688 "GET /dashboard/ HTTP/1.1" 200 3728
INFO 2025-12-28 23:47:20,543 basehttp 208872 138373078234688 "GET /static/css/dist/styles.css?v=1766965640 HTTP/1.1" 200 51387
INFO 2025-12-28 23:48:16,346 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 3770
